>>>>>Begin Spectral Data<<<<<,W/m^2/nm
639.866,0.009820578
640.211,0.008418944
640.555,0.008685717
640.9,0.008817514
641.245,0.009019076
641.589,0.007943267
641.934,0.009898386
642.278,0.010846743
642.623,0.010575745
642.967,0.010379964
643.312,0.010243614
643.656,0.011198892
644,0.008737064
644.344,0.010111558
644.689,0.009492112
645.033,0.011361195
645.377,0.011983944
645.721,0.008514209
646.065,0.00990848
646.409,0.010814869
646.753,0.009908602
647.096,0.009908602
647.44,0.008714896
647.784,0.010049026
648.128,0.009624869
648.471,0.010543829
648.815,0.010902406
649.158,0.010048159
649.502,0.011116112
649.845,0.009974382
650.189,0.010834851
650.532,0.010548028
650.875,0.009754371
651.218,0.009898916
651.562,0.008816131
651.905,0.011347697
652.248,0.011929255
652.591,0.008644143
652.934,0.012815267
653.277,0.010985904
653.62,0.010249538
653.963,0.011428478
654.305,0.00870255
654.648,0.012617629
654.991,0.011134363
655.334,0.012024203
655.676,0.012850942
656.019,0.012552251
656.361,0.011506982
656.704,0.010530996
657.046,0.00992996
657.389,0.011057243
657.731,0.009314408
658.073,0.01014646
658.415,0.011886454
658.757,0.009314408
659.1,0.009755992
659.442,0.008994582
659.784,0.011583438
660.126,0.010136697
660.468,0.013038217
660.809,0.009742769
661.151,0.011658655
661.493,0.010885506
661.835,0.010885506
662.177,0.011116709
662.518,0.01149853
662.86,0.010644725
663.201,0.010489289
663.543,0.011110408
663.884,0.009150151
664.226,0.010712526
664.567,0.011025064
664.908,0.010009394
665.249,0.012431139
665.591,0.011880974
665.932,0.009994195
666.273,0.010531633
666.614,0.011955697
666.955,0.011560159
667.296,0.012825817
667.637,0.01242843
667.978,0.012189496
668.318,0.011313938
668.659,0.011864725
669,0.012665689
669.341,0.010823343
669.681,0.011304179
670.022,0.011937964
670.362,0.013308203
670.703,0.011454484
671.043,0.011200351
671.383,0.013065442
671.724,0.012903076
672.064,0.012903076
672.404,0.011431673
672.744,0.013879392
673.085,0.011350159
673.425,0.010352183
673.765,0.011993665
674.105,0.011911657
674.444,0.012814406
674.784,0.013717287
675.124,0.012396257
675.464,0.012065916
675.804,0.012055171
676.143,0.012387155
